date,open,high,low,close,adjclose,volume
2000-04-01,150.125,153.109375,133.5,145.09375,98.97603607177734,229246200
2000-05-01,146.5625,148.484375,136.5,142.8125,97.41984558105469,161024000
2000-06-01,143.6875,149.15625,143.0,145.28125,99.10391235351562,127146000
2000-07-01,145.4375,151.984375,141.515625,143.0,97.77743530273438,106780100
2000-08-01,143.625,153.09375,142.625,152.34375,104.166259765625,102365500
2000-09-01,153.25,153.59375,142.125,143.625,98.20478057861328,113203000
2000-10-01,144.28125,145.75,130.15625,142.953125,97.99097442626953,178392400
2000-11-01,142.25,144.296875,129.75,132.28125,90.67562866210938,156699900
2000-12-01,133.1875,139.5625,125.53125,131.1875,89.9259262084961,165416700
2001-01-01,132.0,138.6999969482422,127.5625,137.02000427246094,94.21200561523438,181296400
2001-02-01,137.10000610351562,137.99000549316406,121.80000305175781,123.94999694824219,85.22537231445312,178607000
2001-03-01,124.05000305175781,127.75,108.04000091552734,116.69000244140625,80.23355865478516,318187200
2001-04-01,116.30000305175781,127.2699966430664,109.30000305175781,126.66000366210938,87.32319641113281,251839700
2001-05-01,125.06999969482422,132.08999633789062,123.44000244140625,125.94999694824219,86.83375549316406,208040000
2001-06-01,126.19999694824219,129.22999572753906,120.4000015258789,122.5999984741211,84.52409362792969,203578200
2001-07-01,122.80000305175781,124.31999969482422,116.75,121.3499984741211,83.9002456665039,196892900
2001-08-01,121.97000122070312,123.25,112.04000091552734,114.1500015258789,78.92227172851562,269599600
2001-09-01,113.8499984741211,116.16999816894531,93.80000305175781,104.44000244140625,72.20886993408203,419156100
2001-10-01,103.9000015258789,111.79000091552734,102.83000183105469,105.80000305175781,73.42362213134766,512612000
2001-11-01,106.5999984741211,116.9000015258789,105.69999694824219,114.05000305175781,79.14897918701172,372515000
2001-12-01,113.6500015258789,118.0,112.0,114.30000305175781,79.3224868774414,308403900
2002-01-01,115.11000061035156,117.98999786376953,108.4000015258789,113.18000030517578,78.81542205810547,349380000
2002-02-01,113.08999633789062,113.30000305175781,107.81999969482422,111.1500015258789,77.4017333984375,424492600
2002-03-01,111.72000122070312,117.9000015258789,111.51000213623047,114.5199966430664,79.7485122680664,385578100
2002-04-01,114.2300033569336,115.0999984741211,106.62999725341797,107.86000061035156,75.32585906982422,404461000
2002-05-01,107.97000122070312,111.25,104.9000015258789,107.22000122070312,74.87890625,452626500
2002-06-01,107.08999633789062,107.5999984741211,95.19000244140625,98.95999908447266,69.11038970947266,534883500
2002-07-01,99.18000030517578,99.80000305175781,77.68000030517578,91.16000366210938,63.8859748840332,1124248800
2002-08-01,90.87999725341797,97.1500015258789,83.55000305175781,91.77999877929688,64.32047271728516,936191200
2002-09-01,90.7300033569336,93.33000183105469,80.9000015258789,81.79000091552734,57.31934356689453,1013828600
2002-10-01,82.43000030517578,91.29000091552734,77.06999969482422,88.5199966430664,62.31388854980469,1344248100
2002-11-01,88.3499984741211,94.94999694824219,87.44999694824219,93.9800033569336,66.1574935913086,818243400
2002-12-01,95.47000122070312,96.05000305175781,87.11000061035156,88.2300033569336,62.109737396240234,728285900
2003-01-01,88.8499984741211,93.86000061035156,84.1500015258789,86.05999755859375,60.87986755371094,911319900
2003-02-01,86.13999938964844,86.80999755859375,81.0,84.9000015258789,60.05927658081055,862248300
2003-03-01,85.26000213623047,89.87999725341797,79.37999725341797,84.73999786376953,59.94609832763672,1156870200
2003-04-01,85.25,92.80000305175781,84.91000366210938,91.91000366210938,65.2803955078125,996114200
2003-05-01,91.91999816894531,97.08999633789062,90.5,96.94999694824219,68.86012268066406,881509900
2003-06-01,97.52999877929688,102.18000030517578,96.66999816894531,97.62999725341797,69.3431396484375,867970200
2003-07-01,97.25,101.9000015258789,96.43000030517578,99.38999938964844,70.84818267822266,895260500
2003-08-01,99.19000244140625,101.81999969482422,96.33999633789062,101.44000244140625,72.30950164794922,772702000
2003-09-01,101.63999938964844,104.69999694824219,99.25,99.94999694824219,71.24737548828125,818513400
2003-10-01,100.23999786376953,105.97000122070312,100.19999694824219,105.30000305175781,75.34915161132812,831700900
2003-11-01,105.75,106.94999694824219,103.62000274658203,106.44999694824219,76.17205047607422,630654200
2003-12-01,106.8499984741211,111.5199966430664,105.95999908447266,111.27999877929688,79.62823486328125,678350400
2004-01-01,111.73999786376953,116.5,110.7300033569336,113.4800033569336,81.58619689941406,737674000
2004-02-01,113.69999694824219,116.5999984741211,112.77999877929688,115.0199966430664,82.69335174560547,676976900
2004-03-01,115.43000030517578,116.97000122070312,108.8499984741211,113.0999984741211,81.31297302246094,1125003900
2004-04-01,113.06999969482422,115.41000366210938,110.9000015258789,110.95999908447266,80.05411529541016,968620900
2004-05-01,111.37000274658203,113.26000213623047,108.05999755859375,112.86000061035156,81.42487335205078,981083900
2004-06-01,112.45999908447266,114.94000244140625,111.87000274658203,114.52999877929688,82.62974548339844,721880400
2004-07-01,114.25,114.4000015258789,108.20999908447266,110.83999633789062,80.25942993164062,954619200
2004-08-01,110.19000244140625,111.62999725341797,106.58999633789062,111.11000061035156,80.45491790771484,922892000
2004-09-01,110.94999694824219,113.73999786376953,110.41000366210938,111.76000213623047,80.92561340332031,790891900
2004-10-01,112.26000213623047,114.68000030517578,109.3499984741211,113.19999694824219,82.30950164794922,1044071300
2004-11-01,113.55999755859375,119.13999938964844,113.19999694824219,117.88999938964844,85.71971130371094,961601700
2004-12-01,118.16000366210938,121.66000366210938,117.7300033569336,120.87000274658203,88.14693450927734,909170200
2005-01-01,121.55999755859375,121.76000213623047,116.37000274658203,118.16000366210938,86.57769012451172,1184211500
2005-02-01,118.25,121.66999816894531,118.0999984741211,120.62999725341797,88.38746643066406,1025608400
2005-03-01,120.81999969482422,123.25,116.25,117.95999908447266,86.43111419677734,1330548800
2005-04-01,118.62999725341797,119.26000213623047,113.55000305175781,115.75,85.14498138427734,1633318500
2005-05-01,116.06999969482422,120.25,114.80000305175781,119.4800033569336,87.88872528076172,1334647300
2005-06-01,119.5199966430664,121.94000244140625,118.75,119.18000030517578,87.66801452636719,1089322900
2005-07-01,119.44999694824219,124.63999938964844,118.26000213623047,123.73999786376953,91.38970184326172,1176306400
2005-08-01,123.83000183105469,124.73999786376953,120.37999725341797,122.58000183105469,90.5329818725586,1306564800
2005-09-01,122.5199966430664,124.73999786376953,120.44000244140625,123.04000091552734,90.87273406982422,1287005000
2005-10-01,122.95999908447266,123.33999633789062,116.87999725341797,120.12999725341797,89.10118103027344,1784566400
2005-11-01,120.58000183105469,127.41000366210938,120.12999725341797,125.41000366210938,93.01740264892578,1183732800
2005-12-01,126.0199966430664,128.08999633789062,124.36000061035156,124.51000213623047,92.34984588623047,1073146800
2006-01-01,125.19000244140625,129.44000244140625,124.38999938964844,127.5,95.06888580322266,1233910800
2006-02-01,127.81999969482422,130.0399932861328,125.4000015258789,128.22999572753906,95.61315155029297,1145244400
2006-03-01,128.60000610351562,131.47000122070312,127.18000030517578,129.8300018310547,96.80619049072266,1350777100
2006-04-01,130.07000732421875,131.86000061035156,128.02000427246094,131.47000122070312,98.41889190673828,1300327900
2006-05-01,131.47000122070312,132.8000030517578,124.76000213623047,127.51000213623047,95.45442962646484,1752747100
2006-06-01,127.37999725341797,129.42999267578125,122.33999633789062,127.27999877929688,95.2822036743164,2163829300
2006-07-01,127.43000030517578,128.13999938964844,122.38999938964844,127.8499984741211,96.13196563720703,1691301400
2006-08-01,127.33999633789062,131.0399932861328,126.27999877929688,130.63999938964844,98.22979736328125,1420345400
2006-09-01,131.13999938964844,133.99000549316406,129.35000610351562,133.5800018310547,100.44039154052734,1363687900
2006-10-01,133.5399932861328,139.0,132.64999389648438,137.7899932861328,104.0616683959961,1443344100
2006-11-01,138.22000122070312,141.16000366210938,135.6199951171875,140.52999877929688,106.13092041015625,1502059900
2006-12-01,140.52999877929688,143.24000549316406,138.97000122070312,141.6199951171875,106.9541244506836,1212756800
2007-01-01,142.25,144.1300048828125,140.25,143.75,109.16765594482422,1330329900
2007-02-01,144.14999389648438,146.4199981689453,139.0,140.92999267578125,107.02600860595703,1494548900
2007-03-01,139.33999633789062,143.80999755859375,136.75,142.0,107.83860778808594,2918304400
2007-04-01,142.16000366210938,149.8000030517578,141.47999572753906,148.2899932861328,113.06206512451172,1791289900
2007-05-01,148.4199981689453,153.88999938964844,147.6699981689453,153.32000732421875,116.89713287353516,2508178000
2007-06-01,153.8800048828125,154.39999389648438,148.05999755859375,150.42999267578125,114.69366455078125,3502885400
2007-07-01,150.8699951171875,155.52999877929688,145.0399932861328,145.72000122070312,111.58142852783203,3988676200
2007-08-01,145.17999267578125,150.58999633789062,137.0,147.58999633789062,113.01333618164062,6195918600
2007-09-01,147.4499969482422,154.38999938964844,144.3300018310547,152.5800018310547,116.83432006835938,2967009200
2007-10-01,152.60000610351562,157.52000427246094,148.66000366210938,154.64999389648438,118.98112487792969,3850069600
2007-11-01,153.2899932861328,153.41000366210938,140.66000366210938,148.66000366210938,114.37271881103516,5472709900
2007-12-01,148.19000244140625,152.88999938964844,143.9600067138672,146.2100067138672,112.48779296875,3293787500
2008-01-01,146.52999877929688,146.99000549316406,126.0,137.3699951171875,106.24757385253906,6106834300
2008-02-01,137.94000244140625,139.61000061035156,131.72999572753906,133.82000732421875,103.50186157226562,4151028600
2008-03-01,133.13999938964844,135.80999755859375,126.06999969482422,131.97000122070312,102.07096862792969,5462121800
